nombre,precio,imagen_url,calificacion,Stock
The Girl In The Ice (DCI Erika Foster #1),Â£15.85,https://books.toscrape.com/catalogue/page-47.html../media/cache/d8/f7/d8f77fe7f4bb8610e903741441f84702.jpg,Three,In stock
The End of the Jesus Era (An Investigation #1),Â£14.40,https://books.toscrape.com/catalogue/page-47.html../media/cache/fe/47/fe47782c4f8194a4d93ec1381108be88.jpg,One,In stock
The Edge of Reason (Bridget Jones #2),Â£19.18,https://books.toscrape.com/catalogue/page-47.html../media/cache/db/34/db341aa83daa76cd9f9bd2c86ccb5dba.jpg,Four,In stock
The Complete Maus (Maus #1-2),Â£10.64,https://books.toscrape.com/catalogue/page-47.html../media/cache/a6/f8/a6f889e0ba02be31875d3a324090ef5e.jpg,Three,In stock
The Communist Manifesto,Â£14.76,https://books.toscrape.com/catalogue/page-47.html../media/cache/bb/cd/bbcd1a94ebc9fb56f8d079df4557f8e2.jpg,Three,In stock
The Bhagavad Gita,Â£57.49,https://books.toscrape.com/catalogue/page-48.html../media/cache/4e/69/4e69dacc99de838814d0f65c94e67f6c.jpg,Three,In stock
The Bette Davis Club,Â£30.66,https://books.toscrape.com/catalogue/page-48.html../media/cache/23/08/2308bf77130cf0a917642d82dbf4be05.jpg,Three,In stock
The Art of Not Breathing,Â£40.83,https://books.toscrape.com/catalogue/page-48.html../media/cache/37/26/3726bb1bf30241b6d6f8c8488ad70989.jpg,Four,In stock
Taking Shots (Assassins #1),Â£18.88,https://books.toscrape.com/catalogue/page-48.html../media/cache/ea/92/ea92404bce04a4bc76f3ed9c5344b2bf.jpg,Two,In stock
Starlark,Â£25.83,https://books.toscrape.com/catalogue/page-48.html../media/cache/b4/9e/b49e66e8f446d9a3dae488955f2aa487.jpg,Three,In stock
"Skip Beat!, Vol. 01 (Skip Beat! #1)",Â£42.12,https://books.toscrape.com/catalogue/page-48.html../media/cache/6c/60/6c607509837e2b362ffd7c0e15e7b1f9.jpg,Three,In stock
Sister Sable (The Mad Queen #1),Â£13.33,https://books.toscrape.com/catalogue/page-48.html../media/cache/2c/89/2c89c4c5528ab4b9101701437953df75.jpg,Three,In stock
Shatter Me (Shatter Me #1),Â£42.40,https://books.toscrape.com/catalogue/page-48.html../media/cache/f0/31/f031254cafbdff0092c76c8dcba24139.jpg,One,In stock
Shameless,Â£58.35,https://books.toscrape.com/catalogue/page-48.html../media/cache/a2/19/a2198abf12e3287f84997b35f4e1050e.jpg,Three,In stock
Shadow Rites (Jane Yellowrock #10),Â£21.72,https://books.toscrape.com/catalogue/page-48.html../media/cache/7a/0d/7a0d52ec06a57c117c0b99c7980756e7.jpg,Four,In stock
Settling the Score (The Summer Games #1),Â£44.91,https://books.toscrape.com/catalogue/page-48.html../media/cache/9b/4e/9b4ece2ab5a6335c8594c878e2f22df1.jpg,Two,In stock
Sense and Sensibility,Â£37.46,https://books.toscrape.com/catalogue/page-48.html../media/cache/7d/53/7d53e2264b9647ee307259be9f73585d.jpg,One,In stock
"Saga, Volume 1 (Saga (Collected Editions) #1)",Â£28.48,https://books.toscrape.com/catalogue/page-48.html../media/cache/c6/ca/c6cab3f679acb45fd2eba092ec9f6a2a.jpg,One,In stock
"Rhythm, Chord & Malykhin",Â£28.34,https://books.toscrape.com/catalogue/page-48.html../media/cache/43/85/4385ee0304bc3546f2b6eaa75c46d4f8.jpg,Two,In stock
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",Â£46.96,https://books.toscrape.com/catalogue/page-48.html../media/cache/0d/22/0d22f9ee696b7443d1573e7752645c6d.jpg,Five,In stock
Paradise Lost (Paradise #1),Â£24.96,https://books.toscrape.com/catalogue/page-48.html../media/cache/66/f9/66f9edebe41032584e08dcf2fc27b8b4.jpg,One,In stock
"Paper Girls, Vol. 1 (Paper Girls #1-5)",Â£21.71,https://books.toscrape.com/catalogue/page-48.html../media/cache/87/2b/872ba3b06a97e6662770bc2152595b84.jpg,Four,In stock
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",Â£29.87,https://books.toscrape.com/catalogue/page-48.html../media/cache/d5/c5/d5c5a6ebf05b68bee78a38a8ea62305d.jpg,Three,In stock
Origins (Alphas 0.5),Â£28.99,https://books.toscrape.com/catalogue/page-48.html../media/cache/12/9b/129b70d7b45d78a26459e7445e0e13e2.jpg,One,In stock
One Second (Seven #7),Â£52.94,https://books.toscrape.com/catalogue/page-48.html../media/cache/3f/f3/3ff3f7a0f3c949bb7adbe5f7fe80b9ab.jpg,Two,In stock
On the Road (Duluoz Legend),Â£32.36,https://books.toscrape.com/catalogue/page-49.html../media/cache/b8/3e/b83e5f1b9c1dcfe0ef05cff4b080e0fa.jpg,Three,In stock
Old Records Never Die: One Man's Quest for His Vinyl and His Past,Â£55.66,https://books.toscrape.com/catalogue/page-49.html../media/cache/7e/94/7e947f3dd04f178175b85123829467a9.jpg,Two,In stock
Off Sides (Off #1),Â£39.45,https://books.toscrape.com/catalogue/page-49.html../media/cache/03/ed/03ed67ea504353b91b035151d8e80db2.jpg,Five,In stock
Of Mice and Men,Â£47.11,https://books.toscrape.com/catalogue/page-49.html../media/cache/0f/ca/0fca4597765ffacdb7bd529fc5eb88fa.jpg,Two,In stock
Myriad (Prentor #1),Â£58.75,https://books.toscrape.com/catalogue/page-49.html../media/cache/6b/fa/6bfae8a489ff53f50467705c1e6fff19.jpg,Four,In stock
My Perfect Mistake (Over the Top #1),Â£38.92,https://books.toscrape.com/catalogue/page-49.html../media/cache/0d/03/0d03eb55ed070a53b6c4b6eedd48b458.jpg,Two,In stock
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",Â£39.39,https://books.toscrape.com/catalogue/page-49.html../media/cache/f4/96/f496db4d78639e233978ae2bee021752.jpg,Four,In stock
Meditations,Â£25.89,https://books.toscrape.com/catalogue/page-49.html../media/cache/df/c9/dfc9ed72e963572d23233b3a8cb01676.jpg,Two,In stock
Matilda,Â£28.34,https://books.toscrape.com/catalogue/page-49.html../media/cache/03/47/0347bd215f4813edd81c2cd76bab53ca.jpg,One,In stock
Lost Among the Living,Â£27.70,https://books.toscrape.com/catalogue/page-49.html../media/cache/5a/40/5a40d914bc3491e5909f1167f9cb34f2.jpg,Four,In stock
Lord of the Flies,Â£24.89,https://books.toscrape.com/catalogue/page-49.html../media/cache/33/73/3373a168b588e3fb19c558a21da71ac9.jpg,Three,In stock
Listen to Me (Fusion #1),Â£58.99,https://books.toscrape.com/catalogue/page-49.html../media/cache/00/dd/00dd43f59d255cbc16e9d9c9ed20a997.jpg,Three,In stock
Kitchens of the Great Midwest,Â£57.20,https://books.toscrape.com/catalogue/page-49.html../media/cache/5e/37/5e379c1cc7003127bc74257a1b721540.jpg,Five,In stock
Jane Eyre,Â£38.43,https://books.toscrape.com/catalogue/page-49.html../media/cache/0b/9b/0b9bd2c1de5ec402b2c797b53e5257f6.jpg,Five,In stock
Imperfect Harmony,Â£34.74,https://books.toscrape.com/catalogue/page-49.html../media/cache/fb/29/fb299a516730a2f2602b10f945f7a8e5.jpg,Four,In stock
Icing (Aces Hockey #2),Â£40.44,https://books.toscrape.com/catalogue/page-49.html../media/cache/8d/1e/8d1e285bf672b2ea66879490cc5f6904.jpg,Four,In stock
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",Â£45.24,https://books.toscrape.com/catalogue/page-49.html../media/cache/16/46/16460146a1a8b99c82da027368383ade.jpg,Three,In stock
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),Â£34.96,https://books.toscrape.com/catalogue/page-49.html../media/cache/f4/83/f4835e9f3fdd8b8107bbb39a391654f0.jpg,Four,In stock
"Giant Days, Vol. 1 (Giant Days #1-4)",Â£56.76,https://books.toscrape.com/catalogue/page-49.html../media/cache/35/0b/350b1224dc46533851d5a34134e44842.jpg,Four,In stock
"Fruits Basket, Vol. 1 (Fruits Basket #1)",Â£40.28,https://books.toscrape.com/catalogue/page-49.html../media/cache/7c/c1/7cc13a8fb238202250e87843c1a62f94.jpg,Five,In stock
Frankenstein,Â£38.00,https://books.toscrape.com/catalogue/page-50.html../media/cache/00/25/0025515e987a1ebd648773f9ac70bfe6.jpg,Two,In stock
Forever Rockers (The Rocker #12),Â£28.80,https://books.toscrape.com/catalogue/page-50.html../media/cache/7f/b0/7fb03a053c270000667a50dd8d594843.jpg,Three,In stock
Fighting Fate (Fighting #6),Â£39.24,https://books.toscrape.com/catalogue/page-50.html../media/cache/57/e2/57e255929f6e597c18cb3843904cd92b.jpg,Three,In stock
Emma,Â£32.93,https://books.toscrape.com/catalogue/page-50.html../media/cache/09/63/09638baaef52f03827c215029c632a13.jpg,Two,In stock
"Eat, Pray, Love",Â£51.32,https://books.toscrape.com/catalogue/page-50.html../media/cache/21/95/2195c296e82620593a143356aeaa7745.jpg,Three,In stock
Deep Under (Walker Security #1),Â£47.09,https://books.toscrape.com/catalogue/page-50.html../media/cache/74/e4/74e4ec43c40926c7b57fc0fe0f397183.jpg,Five,In stock
Choosing Our Religion: The Spiritual Lives of America's Nones,Â£28.42,https://books.toscrape.com/catalogue/page-50.html../media/cache/df/ab/dfabeab158046237ddb6b713b794909f.jpg,Four,In stock
Charlie and the Chocolate Factory (Charlie Bucket #1),Â£22.85,https://books.toscrape.com/catalogue/page-50.html../media/cache/d6/cc/d6cc0c66e34dfc214b406208bbaf18e2.jpg,Three,In stock
Charity's Cross (Charles Towne Belles #4),Â£41.24,https://books.toscrape.com/catalogue/page-50.html../media/cache/39/e0/39e008f84bbd24b49a7532c2024b855e.jpg,One,In stock
Bright Lines,Â£39.07,https://books.toscrape.com/catalogue/page-50.html../media/cache/12/43/1243e7eb614f57f0e4cfee80553fa312.jpg,Five,In stock
Bridget Jones's Diary (Bridget Jones #1),Â£29.82,https://books.toscrape.com/catalogue/page-50.html../media/cache/0c/32/0c329cbd2adf4e0dc825f892106673b2.jpg,One,In stock
Bounty (Colorado Mountain #7),Â£37.26,https://books.toscrape.com/catalogue/page-50.html../media/cache/80/ff/80ff924ed78cd7c5172410d0d92f8dfe.jpg,Four,In stock
Blood Defense (Samantha Brinkman #1),Â£20.30,https://books.toscrape.com/catalogue/page-50.html../media/cache/cb/f6/cbf6d4b61953f29d7eedd2c9e01a9d74.jpg,Three,In stock
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",Â£34.65,https://books.toscrape.com/catalogue/page-50.html../media/cache/a8/38/a8383903c98af18b898b9d70d5be2c16.jpg,Five,In stock
Beyond Good and Evil,Â£43.38,https://books.toscrape.com/catalogue/page-50.html../media/cache/ab/45/ab45f300aa15066ad1260d6f1398d03e.jpg,One,In stock
Alice in Wonderland (Alice's Adventures in Wonderland #1),Â£55.53,https://books.toscrape.com/catalogue/page-50.html../media/cache/96/ee/96ee77d71a31b7694dac6855f6affe4e.jpg,One,In stock
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",Â£57.06,https://books.toscrape.com/catalogue/page-50.html../media/cache/09/7c/097cb5ecc6fb3fbe1690cf0cbdea4ac5.jpg,Four,In stock
A Spy's Devotion (The Regency Spies of London #1),Â£16.97,https://books.toscrape.com/catalogue/page-50.html../media/cache/1b/5f/1b5ff86f3c75e51e24c573d3f8bffd8f.jpg,Five,In stock
1st to Die (Women's Murder Club #1),Â£53.98,https://books.toscrape.com/catalogue/page-50.html../media/cache/2b/41/2b4161c5b72a4ae386b644682361b34a.jpg,One,In stock
"1,000 Places to See Before You Die",Â£26.08,https://books.toscrape.com/catalogue/page-50.html../media/cache/d7/0f/d70f7edd92705c45a82118c3ff6c299d.jpg,Five,In stock
