Education,Marital_Status,Income,Kids,Days_is_client,Recency,Expenses,Client_age,TotalNumPurchases,TotalAcceptedCmp,Complain,Response
Graduate,Partner,26304.0,1,371,5,16,45,4,0,0,0
Graduate,Partner,23559.0,1,361,87,79,41,9,0,0,0
Postgraduate,Partner,38620.0,0,414,56,318,51,11,0,0,0
Graduate,Single,81361.0,0,124,18,778,27,27,0,0,0
Graduate,Partner,29440.0,2,322,95,56,54,7,0,0,0
Postgraduate,Partner,36138.0,2,348,48,151,44,13,1,0,0
Graduate,Single,50388.0,1,32,3,372,57,17,2,0,1
Graduate,Partner,79593.0,0,48,70,1366,41,19,1,0,0
Graduate,Partner,54178.0,1,159,79,194,47,10,0,0,0
Postgraduate,Single,42394.0,1,98,69,32,42,5,0,0,0
Postgraduate,Partner,23626.0,1,36,84,43,44,10,0,0,0
Graduate,Partner,30096.0,1,38,30,45,31,6,0,0,0
Graduate,Single,47916.0,1,584,72,606,54,22,1,0,0
Graduate,Single,51813.0,2,444,37,63,42,7,0,0,0
Graduate,Partner,78497.0,0,210,44,978,63,25,1,0,0
Postgraduate,Partner,50150.0,0,374,32,410,31,16,0,0,0
Graduate,Single,47823.0,1,341,0,72,54,7,0,0,0
Postgraduate,Single,34554.0,1,91,43,55,55,7,0,0,0
Graduate,Partner,85693.0,1,435,59,1169,35,27,0,0,0
Postgraduate,Partner,65846.0,0,408,68,1120,69,16,0,0,0
Graduate,Partner,87195.0,0,52,35,1097,55,20,0,0,1
Undergraduate,Partner,24594.0,1,201,94,29,35,5,0,0,0
Graduate,Partner,49096.0,2,278,15,187,50,13,0,0,0
Graduate,Partner,52413.0,2,512,56,910,45,26,0,0,0
Graduate,Single,38557.0,1,557,17,145,36,9,0,0,0
Postgraduate,Partner,89058.0,0,569,18,850,54,14,0,0,0
Graduate,Partner,77298.0,1,239,46,969,35,24,0,0,0
Postgraduate,Single,68126.0,0,596,40,1820,23,17,1,0,1
Postgraduate,Partner,57288.0,1,4,27,608,51,20,1,0,0
Graduate,Single,86037.0,0,543,95,730,23,25,2,0,1
Postgraduate,Partner,43974.0,1,564,19,551,34,21,0,0,0
Graduate,Single,50785.0,2,292,27,114,52,8,0,0,0
Graduate,Partner,90765.0,0,156,25,1724,44,15,2,0,0
Graduate,Partner,36550.0,1,495,74,577,36,20,0,0,0
Graduate,Partner,30753.0,2,353,85,81,47,7,0,0,0
Graduate,Partner,21918.0,1,227,37,33,45,7,0,0,0
Postgraduate,Partner,56129.0,1,374,65,660,61,22,0,0,0
Postgraduate,Single,32557.0,1,125,13,80,47,9,0,0,1
Postgraduate,Partner,19510.0,2,298,63,30,29,6,0,0,0
Graduate,Single,30992.0,1,433,83,43,38,5,0,0,0
Graduate,Single,101970.0,0,474,69,1135,31,27,3,0,1
Graduate,Partner,71488.0,0,496,87,559,49,16,0,0,0
Graduate,Single,79607.0,0,434,37,1923,30,16,0,0,1
Postgraduate,Partner,54348.0,2,21,51,90,61,8,0,0,0
Postgraduate,Partner,77376.0,2,50,72,661,58,23,0,0,0
Graduate,Partner,62998.0,1,272,10,463,62,19,0,0,0
Postgraduate,Single,61331.0,2,476,42,632,56,23,0,0,0
Graduate,Partner,73448.0,0,139,10,725,45,19,0,0,0
Postgraduate,Partner,41551.0,2,319,51,279,50,16,0,0,0
Postgraduate,Partner,62981.0,0,469,21,1482,47,23,1,0,0
Undergraduate,Single,9548.0,1,690,31,29,38,6,0,0,0
Postgraduate,Partner,33762.0,3,357,61,106,55,9,0,0,0
Postgraduate,Single,35860.0,2,41,37,49,41,6,1,0,1
Postgraduate,Single,36921.0,2,336,74,38,49,7,0,0,0
Postgraduate,Single,92859.0,0,618,46,2077,22,22,0,0,0
Postgraduate,Partner,65104.0,1,227,4,1053,38,17,0,0,1
Graduate,Partner,86111.0,0,436,73,1385,52,23,0,0,0
Postgraduate,Single,68352.0,1,305,47,871,40,25,0,0,0
Graduate,Partner,41883.0,1,467,13,312,26,12,0,0,0
Graduate,Partner,59809.0,2,619,36,877,38,15,0,0,0
Graduate,Partner,23957.0,1,609,47,68,39,6,0,0,1
Graduate,Partner,38547.0,1,305,49,22,33,4,0,1,0
Graduate,Partner,35688.0,3,676,94,211,41,16,0,0,0
Postgraduate,Partner,49605.0,0,8,65,127,48,8,0,0,0
Postgraduate,Partner,59354.0,2,66,59,459,61,16,0,0,0
Graduate,Partner,65747.0,1,114,96,460,45,19,1,0,0
Graduate,Partner,46344.0,1,562,28,429,42,17,0,0,0
Graduate,Single,34176.0,1,48,12,89,26,11,0,0,0
Postgraduate,Partner,61010.0,1,628,57,1021,62,26,0,0,0
Graduate,Partner,69372.0,0,495,10,1381,65,21,2,0,1
Graduate,Single,49967.0,1,356,4,306,56,15,0,0,0
Graduate,Single,60199.0,3,290,49,18,36,4,0,0,0
Graduate,Partner,55375.0,1,255,3,162,37,9,0,0,0
Graduate,Single,80317.0,0,313,64,1231,59,18,0,0,0
Postgraduate,Single,30523.0,3,363,0,13,56,4,0,0,0
Postgraduate,Partner,70356.0,0,601,20,1706,69,27,0,0,0
Graduate,Partner,23228.0,1,175,91,121,30,11,0,0,0
Postgraduate,Single,74165.0,0,424,9,1293,39,20,0,0,0
Graduate,Partner,43482.0,3,228,83,88,48,9,0,0,0
Graduate,Single,62551.0,0,223,27,421,61,18,1,0,0
Graduate,Single,52332.0,0,305,63,259,55,12,1,0,0
Graduate,Single,66951.0,0,239,46,1117,26,15,0,0,0
Graduate,Partner,26091.0,2,124,84,89,57,9,0,0,0
Graduate,Partner,33456.0,2,69,58,36,49,6,0,0,0
Graduate,Partner,28718.0,1,351,78,57,32,7,0,0,0
Graduate,Partner,50447.0,2,69,4,148,44,8,0,0,0
Postgraduate,Partner,53537.0,2,150,17,93,55,8,0,0,0
Graduate,Single,52074.0,1,86,77,119,47,7,1,0,0
Postgraduate,Partner,80427.0,1,655,56,1835,39,28,0,0,0
Postgraduate,Partner,83837.0,0,560,79,1318,66,25,2,0,1
Postgraduate,Partner,38853.0,2,37,90,45,44,7,0,0,0
Graduate,Partner,38285.0,3,5,96,10,55,4,0,0,0
Graduate,Partner,78497.0,0,210,44,978,63,25,1,0,0
Postgraduate,Partner,51650.0,1,49,81,191,38,10,0,0,0
Graduate,Partner,16248.0,1,50,77,57,26,9,0,0,0
Postgraduate,Partner,66835.0,0,274,21,1033,68,24,0,0,0
Postgraduate,Partner,30477.0,1,158,16,66,30,6,0,0,0
Undergraduate,Partner,28249.0,0,14,80,43,53,6,0,0,0
Graduate,Partner,25271.0,1,571,45,50,31,5,0,0,0
Postgraduate,Single,32303.0,1,113,63,39,44,7,0,0,0
Graduate,Partner,61286.0,1,331,34,608,48,18,0,0,0
Graduate,Partner,74068.0,0,467,14,1581,38,24,0,0,0
Postgraduate,Partner,45759.0,2,491,13,68,50,7,0,0,0
Undergraduate,Partner,24882.0,1,658,52,80,36,5,1,0,0
Postgraduate,Partner,66973.0,0,408,98,1282,25,28,0,0,0
Graduate,Partner,38872.0,1,395,93,91,26,8,0,0,0
Graduate,Partner,51148.0,2,496,38,315,41,16,0,0,0
Graduate,Partner,31353.0,2,182,24,31,37,6,0,0,0
Postgraduate,Partner,69661.0,0,47,80,834,34,23,0,0,0
Graduate,Partner,80067.0,0,283,82,1600,60,17,1,0,0
Graduate,Partner,86718.0,0,528,20,1270,60,17,0,0,0
Postgraduate,Single,46854.0,2,90,81,263,41,15,1,0,1
Graduate,Single,69142.0,1,0,50,535,62,19,1,0,0
Graduate,Single,75922.0,0,202,60,1295,46,18,0,0,0
Graduate,Single,63693.0,1,258,63,1150,36,29,0,0,0
Postgraduate,Partner,102160.0,0,604,54,1240,37,26,3,0,1
Postgraduate,Single,40637.0,2,347,72,38,49,6,0,0,0
Postgraduate,Single,18890.0,0,596,5,35,30,4,1,0,1
Graduate,Partner,29604.0,1,203,88,53,26,5,1,0,0
Postgraduate,Single,48721.0,2,412,50,293,51,17,0,0,0
Graduate,Partner,44794.0,1,21,99,65,48,6,0,0,0
Graduate,Single,64497.0,1,657,17,1804,60,29,1,0,1
Graduate,Partner,46097.0,1,455,11,241,58,15,0,0,0
Graduate,Partner,77972.0,0,103,18,1101,60,20,0,0,0
Postgraduate,Partner,44377.0,2,632,70,264,46,19,0,0,0
Postgraduate,Partner,46014.0,2,524,21,541,40,26,0,0,0
Graduate,Partner,70951.0,0,421,66,1198,29,17,0,0,0
Graduate,Partner,41443.0,1,89,79,482,37,20,0,0,0
Graduate,Single,52195.0,3,48,2,17,36,4,0,0,0
Postgraduate,Partner,83790.0,0,226,81,1615,66,25,2,0,0
Postgraduate,Single,44551.0,1,302,24,285,60,12,0,0,0
Graduate,Partner,69508.0,1,592,48,1135,34,28,0,0,0
Graduate,Partner,45204.0,1,79,93,114,26,7,0,0,0
Graduate,Partner,72460.0,0,227,56,1047,45,16,0,0,0
Postgraduate,Partner,77622.0,2,76,3,714,44,22,0,0,0
Postgraduate,Partner,30732.0,1,540,44,185,34,13,0,0,0
Graduate,Single,63887.0,1,659,38,1245,52,32,0,0,0
Graduate,Partner,42011.0,1,460,46,189,36,12,0,0,0
Graduate,Partner,51369.0,1,612,84,576,38,16,0,0,0
Graduate,Single,51537.0,1,567,27,1103,62,18,0,0,0
Postgraduate,Partner,79930.0,0,690,72,1753,42,17,0,0,0
Postgraduate,Partner,34320.0,1,133,66,17,28,4,0,0,0
Graduate,Single,37070.0,2,466,30,433,48,23,0,0,1
Graduate,Single,81975.0,1,540,2,1588,52,14,1,0,0
Graduate,Partner,38590.0,1,410,65,22,43,4,0,0,0
Graduate,Single,15033.0,0,74,37,19,63,5,0,0,0
Postgraduate,Partner,62745.0,1,463,89,1117,49,29,0,0,0
Graduate,Partner,22212.0,1,202,49,69,39,8,0,0,0
Postgraduate,Partner,23661.0,1,207,46,23,32,5,0,0,0
Postgraduate,Single,79761.0,1,268,32,605,56,19,0,0,0
Graduate,Single,7500.0,1,185,54,57,41,11,0,0,0
Graduate,Single,73455.0,0,244,98,2088,46,22,1,0,0
Graduate,Partner,64961.0,1,553,97,1009,56,16,0,0,0
Graduate,Single,22804.0,1,333,75,26,43,5,0,0,0
Graduate,Partner,73687.0,0,213,8,1627,24,22,1,0,1
Graduate,Partner,61074.0,1,681,37,1102,56,31,0,0,0
Postgraduate,Partner,31686.0,2,24,31,17,50,6,0,0,0
Graduate,Partner,80134.0,1,405,40,1690,42,16,3,0,1
Graduate,Partner,75027.0,1,536,74,1390,61,21,0,0,0
Postgraduate,Partner,67546.0,0,667,90,2126,26,20,0,0,0
Postgraduate,Partner,65176.0,1,608,57,1531,45,25,0,0,0
Postgraduate,Single,31160.0,1,286,59,64,39,7,0,0,0
Graduate,Single,29938.0,1,245,52,26,29,6,0,0,0
Graduate,Single,102692.0,0,450,5,1112,40,29,4,0,1
Graduate,Partner,26490.0,0,645,92,210,56,11,0,0,0
Graduate,Partner,75702.0,2,669,77,1148,47,26,0,0,0
Postgraduate,Single,30899.0,1,624,35,33,40,6,0,0,0
Postgraduate,Partner,63342.0,1,621,48,1101,53,19,1,0,0
Graduate,Single,45989.0,1,615,97,322,50,16,0,0,0
Graduate,Single,18701.0,2,390,95,44,50,10,0,0,0
Postgraduate,Single,40737.0,3,203,24,17,57,4,0,0,0
Graduate,Single,15287.0,1,627,60,31,35,6,1,0,1
Postgraduate,Single,69674.0,2,403,46,845,46,25,0,0,0
Postgraduate,Partner,44159.0,1,12,85,275,44,15,0,0,0
Postgraduate,Partner,37717.0,1,583,31,25,36,4,0,0,0
Postgraduate,Partner,43776.0,2,511,9,275,62,17,0,0,1
Postgraduate,Partner,38179.0,2,472,30,90,48,11,0,0,0
Graduate,Partner,80124.0,0,3,47,1495,51,19,1,0,0
Postgraduate,Partner,38097.0,2,622,70,184,44,11,1,0,1
Graduate,Partner,72940.0,0,375,13,981,44,13,0,0,0
Graduate,Partner,22070.0,1,268,11,67,44,8,0,0,0
Graduate,Single,69267.0,0,645,31,1635,61,14,0,0,1
Postgraduate,Single,31788.0,1,101,15,60,31,10,0,1,0
Postgraduate,Partner,61905.0,1,145,2,231,39,12,0,0,0
Graduate,Partner,29315.0,2,84,55,48,54,10,0,0,0
Graduate,Single,33378.0,2,508,38,99,51,9,0,0,0
Postgraduate,Partner,66313.0,1,286,86,770,51,23,0,0,0
Graduate,Single,60714.0,0,528,56,957,58,23,0,0,1
Postgraduate,Partner,77882.0,0,60,29,818,33,12,0,0,0
Postgraduate,Single,69867.0,0,453,30,925,28,17,1,0,1
Postgraduate,Single,63841.0,1,434,64,908,46,22,0,0,0
Undergraduate,Partner,24480.0,1,503,46,102,33,10,0,0,0
Graduate,Partner,51369.0,1,612,84,576,38,16,0,0,0
Graduate,Partner,37760.0,0,667,20,317,68,13,0,0,0
Postgraduate,Partner,65640.0,1,120,74,461,40,15,0,0,0
Postgraduate,Partner,44319.0,2,73,18,37,39,7,0,0,0
Graduate,Partner,30631.0,1,352,75,70,40,7,0,0,0
Graduate,Partner,75278.0,0,516,17,930,62,23,0,0,0
Postgraduate,Partner,50898.0,2,537,88,859,58,33,0,0,0
Graduate,Single,79946.0,0,48,19,1478,48,22,0,0,0
Postgraduate,Single,35416.0,0,381,62,390,65,16,0,0,0
Graduate,Partner,32414.0,0,360,11,52,30,5,1,0,0
Graduate,Partner,38361.0,1,184,74,137,45,10,0,0,0
Graduate,Partner,82497.0,0,606,32,1919,34,19,1,0,0
Graduate,Partner,16626.0,2,165,76,68,43,9,0,0,0
Graduate,Partner,29672.0,2,474,6,25,49,4,0,0,0
Postgraduate,Partner,55951.0,1,675,62,1374,62,23,2,0,0
Graduate,Single,35388.0,1,479,20,32,26,5,0,0,0
Postgraduate,Partner,42386.0,1,532,43,100,28,7,0,0,0
Graduate,Single,68627.0,0,533,45,825,32,12,0,0,0
Postgraduate,Single,57912.0,1,104,34,916,49,28,1,0,0
Graduate,Single,35246.0,2,74,53,62,56,11,0,0,0
Graduate,Partner,58821.0,1,260,44,728,58,21,0,0,0
Postgraduate,Partner,46377.0,1,120,89,90,36,7,0,0,0
Graduate,Single,39747.0,1,77,43,273,26,13,0,0,0
Graduate,Partner,23976.0,1,184,68,66,30,10,0,0,0
Postgraduate,Partner,80950.0,0,458,44,1213,53,23,1,0,0
Graduate,Single,27038.0,0,649,64,107,48,7,0,0,1
Graduate,Single,77457.0,0,116,85,1157,67,18,1,0,0
Postgraduate,Partner,64100.0,1,292,93,546,50,18,1,0,0
Postgraduate,Partner,42670.0,0,428,12,241,22,11,0,0,0
Graduate,Single,12571.0,1,162,86,53,38,11,0,0,0
Graduate,Partner,22574.0,3,244,28,37,47,7,0,0,0
Postgraduate,Single,70893.0,0,508,42,1508,38,23,0,0,0
Graduate,Partner,54198.0,2,194,13,235,48,16,0,0,0
Postgraduate,Partner,28839.0,2,110,86,32,58,7,0,0,0
Graduate,Partner,40321.0,2,335,59,102,42,8,0,0,0
Graduate,Single,66503.0,1,684,30,401,29,15,0,0,0
Graduate,Partner,30833.0,2,348,33,28,63,6,0,0,0
Graduate,Partner,64795.0,1,528,23,680,43,21,0,0,0
Graduate,Partner,34421.0,1,363,81,30,40,4,0,0,0
Postgraduate,Single,47025.0,2,140,6,20,49,4,0,0,0
Postgraduate,Single,64325.0,1,507,41,1307,53,23,0,0,0
Graduate,Single,40464.0,1,534,78,630,61,24,0,0,0
Graduate,Partner,62187.0,0,359,49,1283,57,18,0,0,0
Postgraduate,Single,14849.0,1,362,39,65,38,9,0,0,0
Graduate,Partner,27255.0,1,234,3,37,30,5,0,0,0
Postgraduate,Partner,54432.0,3,416,37,38,64,5,0,0,0
Postgraduate,Single,29999.0,1,501,22,160,28,12,0,0,0
Graduate,Single,24072.0,1,439,79,23,31,4,0,0,0
Postgraduate,Single,33996.0,0,291,46,71,25,6,0,0,0
Postgraduate,Partner,66334.0,1,452,82,1161,58,19,0,0,1
Postgraduate,Partner,35178.0,1,535,10,59,43,5,1,0,1
Graduate,Partner,22010.0,1,364,51,33,31,7,0,0,0
Graduate,Single,62204.0,2,655,38,946,54,22,0,0,0
Graduate,Single,75693.0,0,570,10,1442,46,22,3,0,1
Graduate,Partner,30675.0,1,594,14,62,42,5,0,0,0
Graduate,Partner,83003.0,0,483,18,1674,49,22,1,0,1
Graduate,Single,68655.0,0,688,95,1538,26,21,0,0,0
Graduate,Single,41411.0,0,204,11,139,28,8,0,0,0
Postgraduate,Partner,55212.0,1,583,65,1182,45,20,2,0,0
Postgraduate,Partner,59292.0,1,381,71,507,64,18,0,0,0
Undergraduate,Partner,27190.0,1,318,13,18,41,4,1,0,1
Graduate,Single,82623.0,0,231,58,940,62,16,0,0,0
Graduate,Partner,44300.0,2,371,65,42,49,6,0,0,0
Graduate,Single,84835.0,0,13,0,1190,44,15,0,0,1
Graduate,Single,30372.0,2,551,33,44,43,8,0,0,0
Postgraduate,Partner,33181.0,1,177,90,16,38,4,1,0,0
Graduate,Partner,71113.0,1,194,95,835,57,26,0,0,0
Graduate,Partner,71952.0,1,535,93,1443,28,22,2,0,0
Postgraduate,Single,69759.0,0,244,38,1029,48,18,0,0,1
Graduate,Partner,72099.0,0,610,18,1188,40,18,0,0,0
Postgraduate,Single,60000.0,1,554,57,1277,38,24,0,0,0
Graduate,Single,38643.0,2,212,45,49,36,7,0,1,0
Graduate,Partner,50737.0,1,414,61,99,59,7,1,0,0
Postgraduate,Partner,68462.0,0,564,6,1670,45,15,0,0,0
Postgraduate,Partner,65073.0,0,313,65,900,71,14,0,1,0
Postgraduate,Partner,46681.0,2,264,52,425,66,16,0,0,0
Graduate,Partner,78618.0,0,639,87,2153,57,22,1,0,0
Postgraduate,Single,62187.0,1,99,38,636,45,21,0,0,0
Graduate,Partner,28442.0,2,125,53,57,36,10,0,0,0
Postgraduate,Partner,37717.0,1,583,31,25,36,4,0,0,0
Graduate,Partner,51479.0,2,548,67,494,47,22,0,0,0
Graduate,Single,54803.0,1,677,65,693,45,19,0,0,0
Graduate,Partner,79530.0,0,408,64,1348,54,26,0,0,0
Graduate,Single,31615.0,1,470,82,51,38,7,0,0,0
Graduate,Partner,72025.0,0,589,27,1932,52,16,0,0,0
Postgraduate,Single,52614.0,1,575,63,990,39,16,0,0,0
Graduate,Partner,35684.0,1,68,66,30,30,5,0,0,0
Graduate,Partner,48178.0,2,609,69,254,39,16,0,0,0
Postgraduate,Single,29548.0,1,304,52,29,44,5,1,0,0
Graduate,Single,63810.0,1,595,45,1371,48,23,1,0,0
Postgraduate,Single,38578.0,2,372,2,73,42,9,0,0,1
Postgraduate,Single,46098.0,2,680,86,120,39,11,0,0,0
Graduate,Single,22585.0,0,468,23,81,44,5,1,0,1
Graduate,Single,30279.0,1,546,13,37,25,5,0,0,0
Postgraduate,Partner,66426.0,1,270,14,1377,53,20,0,0,0
Graduate,Single,30822.0,1,380,92,51,45,5,0,0,0
Postgraduate,Partner,33581.0,2,537,38,17,45,4,0,0,0
Graduate,Partner,19986.0,1,227,74,22,29,4,0,0,0
Graduate,Single,27421.0,0,564,14,324,60,14,0,0,0
Graduate,Partner,35688.0,3,676,94,211,41,16,0,0,0
Postgraduate,Single,36143.0,1,91,33,19,33,4,0,0,0
Graduate,Single,10245.0,1,410,32,41,43,8,0,0,0
Postgraduate,Partner,43795.0,1,256,11,492,46,17,1,0,1
Graduate,Partner,63381.0,1,632,78,1005,54,26,0,0,0
Graduate,Partner,38823.0,1,668,56,114,65,7,0,0,0
Postgraduate,Single,83664.0,2,417,57,1173,46,19,0,0,0
Graduate,Partner,90300.0,0,177,7,1738,35,19,1,0,0
Postgraduate,Partner,62499.0,1,202,0,222,35,12,0,0,0
Graduate,Single,74293.0,0,56,66,1127,21,16,0,0,0
Postgraduate,Partner,51012.0,0,437,86,209,68,10,0,0,0
Postgraduate,Partner,70777.0,1,124,80,787,46,23,0,0,0
Postgraduate,Partner,68682.0,0,266,56,1598,23,24,0,0,0
Graduate,Partner,43824.0,2,652,18,186,43,12,0,0,0
Graduate,Partner,15345.0,1,667,51,47,30,6,0,0,1
Graduate,Single,23442.0,1,552,71,27,27,5,0,0,0
Graduate,Partner,14515.0,1,597,71,96,34,11,0,0,1
Graduate,Single,31395.0,2,463,80,64,58,10,0,0,0
Graduate,Partner,75276.0,0,640,2,1040,49,23,0,0,0
Graduate,Single,42373.0,2,318,83,163,40,13,0,0,0
Graduate,Partner,30507.0,0,475,29,343,54,11,0,0,0
Postgraduate,Single,55521.0,3,250,11,446,59,24,1,0,1
Graduate,Partner,48006.0,2,20,55,41,49,5,0,0,0
Postgraduate,Single,27213.0,1,668,19,70,42,9,0,0,1
Postgraduate,Single,65808.0,2,30,1,272,43,14,0,0,0
Postgraduate,Partner,30351.0,1,388,19,46,40,6,0,0,0
Graduate,Partner,50437.0,2,620,28,490,51,19,0,0,0
Graduate,Single,23616.0,1,589,76,79,32,8,0,0,1
Graduate,Partner,53858.0,1,597,50,915,38,17,0,0,0
Postgraduate,Partner,66465.0,1,456,1,1485,59,35,1,0,0
Graduate,Single,46923.0,1,676,90,369,27,16,0,0,0
Graduate,Partner,75072.0,1,522,83,1073,52,19,0,0,0
Postgraduate,Partner,75865.0,0,90,73,1242,71,19,0,0,0
Graduate,Partner,19789.0,1,221,24,78,39,9,1,0,0
Graduate,Partner,80134.0,0,135,11,1378,20,21,4,0,0
Graduate,Single,91065.0,0,492,33,1474,33,26,2,0,1
Postgraduate,Partner,49505.0,2,481,4,751,43,29,0,0,0
Postgraduate,Partner,37401.0,1,54,14,48,41,7,0,0,0
Graduate,Partner,30096.0,1,38,30,45,31,6,0,0,0
Postgraduate,Partner,18492.0,1,24,75,10,32,4,0,0,0
Postgraduate,Partner,82584.0,0,390,26,1435,40,16,2,0,1
Postgraduate,Partner,93027.0,0,442,77,2119,73,22,1,0,0
Graduate,Partner,48686.0,3,207,8,20,61,4,0,0,0
Graduate,Partner,92910.0,0,66,42,1795,28,27,3,0,0
Graduate,Partner,75433.0,1,85,28,1188,25,19,2,0,0
Graduate,Partner,10404.0,1,56,52,43,25,7,0,0,0
Graduate,Partner,61314.0,1,430,1,1008,46,24,0,0,0
Postgraduate,Single,84865.0,0,416,1,1688,53,16,4,0,1
Graduate,Partner,42387.0,1,608,42,684,25,21,0,0,0
Graduate,Partner,75236.0,1,216,27,1068,50,25,0,0,0
Graduate,Single,30015.0,1,147,28,57,44,7,0,0,0
Postgraduate,Partner,50943.0,1,373,49,46,58,5,0,0,0
Graduate,Single,67272.0,1,190,12,733,48,23,0,0,0
Postgraduate,Single,51529.0,1,295,14,467,65,17,0,0,0
Postgraduate,Partner,32011.0,1,311,89,122,43,10,0,0,0
Graduate,Partner,7500.0,1,507,96,36,28,7,0,0,0
Graduate,Partner,28691.0,1,360,56,34,25,5,0,0,0
Postgraduate,Partner,56223.0,1,191,72,156,66,10,0,0,0
